x,y,file,label,class
6,2,map/1c.wav,high,0
-9,2,map/5c.wav,high,0
-18,2,map/6c.wav,high,0
-19,2,map/8c.wav,high,0
23,2,map/12c.wav,high,0
-15,2,map/15c.wav,high,0
26,2,map/16c.wav,high,0
-24,2,map/17c.wav,high,0
-13,2,map/88c.wav,high,0
-21,2,map/25c.wav,high,0
17,2,map/28c.wav,high,0
3,2,map/30c.wav,high,0
-4,2,map/31c.wav,high,0
-27,2,map/37c.wav,high,0
-6,2,map/38c.wav,high,0
-22,2,map/39c.wav,high,0
-3,2,map/40c.wav,high,0
-23,2,map/41c.wav,high,0
-25,2,map/42c.wav,high,0
7,2,map/43c.wav,high,0
-12,2,map/47c.wav,high,0
-26,2,map/89c.wav,high,0
-16,2,map/90c.wav,high,0
24,2,map/96c.wav,high,0
25,2,map/98c.wav,high,0
22,2,map/49c.wav,high,0
5,2,map/50c.wav,high,0
12,2,map/51c.wav,high,0
-8,2,map/52c.wav,high,0
-5,2,map/53c.wav,high,0
18,2,map/55c.wav,high,0
20,2,map/58c.wav,high,0
-2,2,map/59c.wav,high,0
9,2,map/63c.wav,high,0
-7,2,map/66c.wav,high,0
4,2,map/67c.wav,high,0
-10,2,map/68c.wav,high,0
16,2,map/69c.wav,high,0
-1,2,map/71c.wav,high,0
0,2,map/73c.wav,high,0
1,2,map/75c.wav,high,0
11,2,map/77c.wav,high,0
15,2,map/99c.wav,high,0
10,2,map/102c.wav,high,0
19,2,map/103c.wav,high,0
2,2,map/105c.wav,high,0
21,2,map/109c.wav,high,0
8,2,map/111c.wav,high,0
27,2,map/114c.wav,high,0
-17,2,map/116c.wav,high,0
-11,2,map/117c.wav,high,0
-14,2,map/118c.wav,high,0
-20,2,map/122c.wav,high,0
14,2,map/126c.wav,high,0
13,2,map/127c.wav,high,0
23,1,map/4c.wav,low,1
6,1,map/84c.wav,low,1
-16,1,map/7c.wav,low,1
19,1,map/9c.wav,low,1
5,1,map/10c.wav,low,1
-2,1,map/11c.wav,low,1
-1,1,map/13c.wav,low,1
22,1,map/14c.wav,low,1
-14,1,map/19c.wav,low,1
11,1,map/20c.wav,low,1
-4,1,map/21c.wav,low,1
29,1,map/22c.wav,low,1
28,1,map/23c.wav,low,1
21,1,map/85c.wav,low,1
-3,1,map/86c.wav,low,1
-23,1,map/87c.wav,low,1
-29,1,map/26c.wav,low,1
-10,1,map/27c.wav,low,1
-13,1,map/32c.wav,low,1
-20,1,map/33c.wav,low,1
4,1,map/34c.wav,low,1
-15,1,map/36c.wav,low,1
25,1,map/44c.wav,low,1
8,1,map/45c.wav,low,1
13,1,map/46c.wav,low,1
-22,1,map/91c.wav,low,1
17,1,map/97c.wav,low,1
26,1,map/54c.wav,low,1
2,1,map/56c.wav,low,1
-8,1,map/60c.wav,low,1
3,1,map/61c.wav,low,1
15,1,map/62c.wav,low,1
9,1,map/64c.wav,low,1
-28,1,map/65c.wav,low,1
-17,1,map/70c.wav,low,1
-11,1,map/72c.wav,low,1
-24,1,map/74c.wav,low,1
-5,1,map/76c.wav,low,1
-19,1,map/78c.wav,low,1
-25,1,map/79c.wav,low,1
-12,1,map/80c.wav,low,1
-27,1,map/81c.wav,low,1
14,1,map/82c.wav,low,1
-9,1,map/92c.wav,low,1
-6,1,map/93c.wav,low,1
7,1,map/94c.wav,low,1
12,1,map/83c.wav,low,1
18,1,map/101c.wav,low,1
16,1,map/104c.wav,low,1
-21,1,map/107c.wav,low,1
-18,1,map/108c.wav,low,1
0,1,map/110c.wav,low,1
1,1,map/112c.wav,low,1
27,1,map/115c.wav,low,1
-7,1,map/119c.wav,low,1
20,1,map/120c.wav,low,1
24,1,map/123c.wav,low,1
10,1,map/135c.wav,low,1
-26,1,map/128c.wav,low,1
6,3,map/18c.wav,very high,2
-12,3,map/35c.wav,very high,2
12,3,map/48c.wav,very high,2
-6,3,map/113c.wav,very high,2
0,3,map/124c.wav,very high,2
4,0,map/2c.wav,very low,3
0,0,map/3c.wav,very low,3
16,0,map/95c.wav,very low,3
12,0,map/24c.wav,very low,3
-16,0,map/29c.wav,very low,3
-4,0,map/57c.wav,very low,3
-8,0,map/100c.wav,very low,3
-12,0,map/106c.wav,very low,3
8,0,map/121c.wav,very low,3